"Abbrev","Stat Name","Description","Unit","Pctile Dir","Available In"
"Fr Pts","Freshman Points","Total points scored by freshmen on the roster.","Integer","Highest # = 100th","Team Game, Team Agg"
"Fr Pts/G","Freshman Points Scored / Game","Points per game scored by freshmen on the roster.","Number","Highest # = 100th","Team Agg"
"Fr Pts%","Freshman Points Percentage","Share of total team points scored by freshmen on the roster.","Percentage","Highest % = 100th","Team Game, Team Agg"
"FTA Rate","Free Throw Attempt Rate","A player's free throw attempts as a percentage of their field goal attempts.","Percentage","Highest % = 100th","Team Game, Player Agg, Team Agg, Player Game, Lineup, On/Off"
"FTA Rate**Adj","Adjusted Free Throw Attempt Rate","The team's free throw attempt rate, taking into account an adjustment based on the average FTA Rate allowed by the team's opponents throughout the season.","Percentage","Highest % = 100th","Team Agg"
"FTA","Free Throw Attempts","The total number of free throw attempts.","Integer","Highest # = 100th","Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"FTM Rate","Free Throw Made Rate","A player's free throws made as a percentage of their field goal attempts.","Percentage","Highest % = 100th","Team Game, Player Agg, Team Agg, Player Game, Lineup, On/Off"
"FT1%","FT% on First Free Throw","Free throw percentage on the first free throw attempt.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"FT2%","FT% on Second Free Throw","Free throw percentage on the second free throw attempt.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"FT3%","FT% on Third Free Throw","Free throw percentage on the third free throw attempt.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"FTA1","First Free Throw Attempts","The total number of first free throw attempts.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ft1a1Pct","ft1a1Pct","No description available","-","-","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"FTM1","First Free Throws Made","The total number of first free throws made.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"FTA2","Second Free Throw Attempts","The total number of second free throw attempts.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"FTM2","Second Free Throws Made","The total number of second free throw attempts made.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"FTA3","Third Free Throw Attempts","The total number of third free throw attempts.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"FTM3","Third Free Throws Made","The total number of third free throw attempts made.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"FTA DIFF","FT Attempt Differential","How many more or fewer free throw attempts the team took compared to their opponent.","Integer","Highest # = 100th","Team Game, Team Agg"
"fta1a1","fta1a1","No description available","-","-","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"FTA/100","Free Throw Attempts / 100 Poss","An estimate of the number of free throw attempts per 100 possessions played.","Number","Highest # = 100th","Team Agg, Lineup, On/Off"
"FTA/40","Free Throw Attempts / 40 Mins","The number of free throw attempts per 40 minutes played.","Number","Highest # = 100th","Player Agg, Team Agg, Lineup, On/Off"
"FTA/G","Free Throw Attempts / Game","The number of free throw attempts per game.","Number","Highest # = 100th","Player Agg, Team Agg"
"ftaTm","ftaTm","No description available","-","-","Player Game PBP, Player Agg, Player Game, Player Agg PBP"
"FTM DIFF","FT Made Differential","How many more or fewer free throws made the team had compared to their opponent.","Integer","Highest # = 100th","Team Game, Team Agg"
"ftm1a1","ftm1a1","No description available","-","-","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ftRatio","ftRatio","No description available","-","-","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"FTM","Free Throws Made","The total number of free throws made.","Integer","Highest # = 100th","Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"GFO","Games Fouled Out","The total number of games played where the player fouled out of the game.","Integer","Lowest # = 100th","Player Agg, Player Game"
"GP","Games Played","The number of games played by the player.","Integer","Highest # = 100th","Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP"
"GP PBP","Games Played (PBP)","The number of games played by the player that were tagged using the NCAA's LiveStats system. LiveStats feeds every play-by-play stat across the site - games tagged by older systems (StatCrew, PrestoSports) are omitted since their PBP data lacks details we need.","Integer","Highest # = 100th","Player Game PBP, Team Game, Player Agg, Team Agg, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP"
"GS","Games Started","The number of games started by the player.","Integer","Highest # = 100th","Player Agg, Player Game"
"GS PBP","Games Started (PBP)","The number of games started by the player that were tagged using the NCAA's LiveStats system. LiveStats feeds every play-by-play stat across the site - games tagged by older systems (StatCrew, PrestoSports) are omitted since their PBP data lacks details we need.","Integer","Highest # = 100th","Player Game PBP, Player Agg PBP"
"gameUpdated","gameUpdated","No description available","-","-","Team Game"
"GOI CHLG%","Goaltending / Basket Interference Challenge Success Percentage","Percentage of coach challenges on goaltending or basket interference calls that were successful (men's basketball only).","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"GOI Challenge","Goaltending / Basket Interference Challenges","Total number of head coach challenges on goaltending or basket interference calls, whether the ball was illegally touched on or above the rim (men's basketball only).","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"gTk%","Good Take Rate","The percentage of true shot attempts (FGAs + 0.44 * FTA) that were shots at the rim, from 3P range, or trips to the FT line.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"gw","gw","No description available","-","-","Player Agg"
"HKM%","Hakeem Percentage","The sum of a player's block percentage and steal percentage.","Percentage","Highest % = 100th","Team Game, Player Agg, Team Agg, Player Game, Lineup, On/Off"
"HC CHNC","Half Court Chances","The total number of chances that came in the half court.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"HC PPC","Half Court Points / Chance","Total points scored in the half court divided by the number of half court chances.","num2","Highest # = 100th","Team Agg PBP, Team Game PBP"
"H3 FG%","Heaves 3s FG%","Field goal percentage on heaves (35+ feet).","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"H3 FGA","Heaves 3s FGA","Field goal attempts on heaves (35+ feet).","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"H3 FGA/100","Heaves 3s FGA / 100 Poss","Field goal attempts on heaves (35+ feet) per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"H3 FGA/40","Heaves 3s FGA / 40 Mins","Field goal attempts on heaves (35+ feet) per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"H3 FGA/G","Heaves 3s FGA / Game","Field goal attempts on heaves (35+ feet) per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"H3 FGA%","Heaves 3s FGA%","Percentage of shots taken as heaves (35+ feet).","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"H3 FGM","Heaves 3s FGM","Field goals made on heaves (35+ feet).","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"PAINT2 DRB CHNC","In The Paint 2s Defensive Rebound Chances","The total number of defensive rebounds chances (defensive rebounds grabbed plus opponent offensive rebounds) on opponent's missed shots in the paint (but not at the rim).","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"PAINT2 DRB%","In The Paint 2s Defensive Rebounding Percentage","Percentage of the opponent's missed shots in the paint (but not at the rim) that were defensive rebounded by the team.","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"PAINT2 DRB","In The Paint 2s Defensive Rebounds","The total number of defensive rebounds grabbed on opponent's missed shots in the paint (but not at the rim).","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"PAINT2 ASTD%","In The Paint 2s Assisted Pct","The percentage of shots made in the paint (but not at the rim) that were assisted.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"PAINT2 AST","In The Paint 2s Assists","The total number of assists where the shooter scored in the paint (but not at the rim).","Integer","Highest # = 100th","Player Game PBP, Player Agg PBP"
"PAINT2 AST/40","In The Paint 2s Assists / 40 Mins","The total number of assists per 40 minutes where the shooter scored in the paint (but not at the rim).","Number","Highest # = 100th","Player Game PBP, Player Agg PBP"
"PAINT2 AST/G","In The Paint 2s Assists / Game","The total number of assists per game where the shooter scored in the paint (but not at the rim).","Number","Highest # = 100th","Player Agg PBP"
"Stop%","Individual Defensive Stop Percentage","Share of opponent possessions this player ended with a defensive stop (recovered block, steal, or charge drawn) while on court.","Percentage","Highest % = 100th","Player Game PBP, Player Agg PBP"
"Stops","Individual Defensive Stops","Plays where this player ended an opponent's possession defensively — sum of recovered blocks (block where the defense kept the ball), steals, and offensive personal foul drawn.","Integer","Highest # = 100th","Player Game PBP, Player Agg PBP"
"Stops/100","Individual Defensive Stops / 100 Poss","Individual defensive stops per 100 player possessions. A stop is a recovered block, steal, or offensive personal foul drawn.","Number","Highest # = 100th","Player Agg PBP"
"Stops/40","Individual Defensive Stops / 40 Mins","Individual defensive stops per 40 minutes played. A stop is a recovered block, steal, or offensive personal foul drawn.","Number","Highest # = 100th","Player Agg PBP"
"Stops/G","Individual Defensive Stops / Game","Individual defensive stops per game played. A stop is a recovered block, steal, or offensive personal foul drawn.","Number","Highest # = 100th","Player Agg PBP"
"isCT","isCT","No description available","-","-","Player Game PBP, Team Game, Player Game, Team Game PBP"
"JB STL%","Jailbreak Steal Percentage","Share of steals that turned into a transition bucket at the rim within 4 seconds. Higher = better at converting takeaways into points.","Percentage","Highest % = 100th","Team Agg PBP, Player Agg PBP"
"JB STL","Jailbreak Steals","The number of steals that led to a transition bucket at the rim within 4 seconds.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"JB STL/100","Jailbreak Steals / 100 Poss","Jailbreak steals (steals that led to a transition bucket at the rim within 4 seconds) per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"JB STL/40","Jailbreak Steals / 40 Mins","Jailbreak steals (steals that led to a transition bucket at the rim within 4 seconds) per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"JB STL/G","Jailbreak Steals / Game","Jailbreak steals (steals that led to a transition bucket at the rim within 4 seconds) per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"Jr Mins%","Junior Minutes Percentage","Share of total team minutes played by juniors on the roster.","Percentage","Highest % = 100th","Team Game, Team Agg"
"Jr Mins","Junior Minutes","Total minutes played by juniors on the roster.","Integer","Highest # = 100th","Team Game, Team Agg"
"Jr Mins/G","Junior Minutes / Game","Average minutes per game played by juniors on the roster.","Number","Highest # = 100th","Team Agg"
"Jr Pts","Junior Points","Total points scored by juniors on the roster.","Integer","Highest # = 100th","Team Game, Team Agg"
"Jr Pts/G","Junior Points Scored / Game","Points per game scored by juniors on the roster.","Number","Highest # = 100th","Team Agg"
"Jr Pts%","Junior Points Percentage","Share of total team points scored by juniors on the roster.","Percentage","Highest % = 100th","Team Game, Team Agg"
"Kill Run Len (No Fouls)","Sum of Kill Run Lengths (No Fouls Allowed)","Total stops summed across all 3+ consecutive stop runs where the opponent scored zero points, attempted no free throws, and the defense committed no fouls. Used to calculate average kill run length.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"Kill Run Len (No FTs)","Sum of Kill Run Lengths (No FTs Allowed)","Total stops summed across all 3+ consecutive stop runs where the opponent scored zero points and attempted no free throws. Used to calculate average kill run length.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"Kill Run Len (No Pts)","Sum of Kill Run Lengths (No Pts Allowed)","Total stops summed across all 3+ consecutive stop runs where the opponent scored zero points. Used to calculate average kill run length.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"Kill Runs (No Fouls)","Distinct Kill Runs (No Fouls Allowed)","Count of distinct defensive runs of 3 or more consecutive stops where the opponent scored zero points, attempted no free throws, and the defense committed no fouls. A 6-stop run counts as 1 run here (vs 2 non-overlapping kills).","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"Kill Runs (No FTs)","Distinct Kill Runs (No FTs Allowed)","Count of distinct defensive runs of 3 or more consecutive stops where the opponent scored zero points and attempted no free throws. A 6-stop run counts as 1 run here (vs 2 non-overlapping kills).","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"Kill Runs (No Pts)","Distinct Kill Runs (No Pts Allowed)","Count of distinct defensive runs of 3 or more consecutive stops where the opponent scored zero points. A 6-stop run counts as 1 run here (vs 2 non-overlapping kills).","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"Kills (No Fouls)","3-Stop Kills (No Fouls Allowed)","The strictest kill: 3 consecutive defensive possessions where the opponent scored 0 points, did not attempt any free throws, AND the defense committed no fouls.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"Kills/100 (No Fouls)","3-Stop Kills (No Fouls) / 100 Poss","Total number of strictest kills (3 stops with no points allowed, no free throws allowed and no defensive fouls committed) per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"Kills/40 (No Fouls)","3-Stop Kills (No Fouls) / 40 Mins","Total number of strictest kills (3 stops with no points allowed, no free throws allowed and no defensive fouls committed) per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP"
"Kills/G (No Fouls)","3-Stop Kills (No Fouls) / Game","Total number of strictest kills (3 stops with no points allowed, no free throws allowed and no defensive fouls committed) per game.","Number","Highest # = 100th","Team Agg PBP"
"Kills (No FTs)","3-Stop Kills (No FTs Allowed)","A stricter kill: 3 consecutive defensive possessions where the opponent scored no points AND did not attempt any free throws.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"Kills/100 (No FTs)","3-Stop Kills (No FTs) / 100 Poss","Total number of stricter kills (3 stops with no points allowed and no free throws allowed) per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"Kills/40 (No FTs)","3-Stop Kills (No FTs) / 40 Mins","Total number of stricter kills (3 stops with no points allowed and no free throws allowed) per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP"
"Kills/G (No FTs","3-Stop Kills (No FTs) / Game","Total number of stricter kills (3 stops with no points allowed and no free throws allowed) per game.","Number","Highest # = 100th","Team Agg PBP"
"Kills (No Pts)","3-Stop Kills (No Pts Allowed)","A kill is 3 consecutive defensive possessions where the opponent scored 0 points. Total number of non-overlapping 3-stop runs over the games played.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"Kills/100 (No Pts)","3-Stop Kills (No Pts) / 100 Poss","Total number of defensive kills (3 consecutive stops with no points allowed) per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"Kills/40 (No Pts)","3-Stop Kills (No Pts) / 40 Mins","Total number of defensive kills (3 consecutive stops with no points allowed) per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP"
"Kills/G (No Pts)","3-Stop Kills (No Pts) / Game","Total number of defensive kills (3 consecutive stops with no points allowed) per game.","Number","Highest # = 100th","Team Agg PBP"
"lane2AstPg","lane2AstPg","No description available","-","-","Player Agg PBP"
"Largest Deficit","Largest Deficit","The largest point difference by which a team was trailing at any point during the game.","Integer","Lowest # = 100th","Team Game"
"Largest Lead","Largest Lead","The largest point difference by which a team was ahead at any point during the game.","Integer","Highest # = 100th","Team Game"
"Largest Score Margin","Largest Score Margin","The score at the moment when a team had its largest lead in the game.","txt","Highest # = 100th","Team Game"
"LAY+DUNK FGA/100","Layup + Dunk FGAs / 100 Poss","The number of layups and dunks attempted by the player, per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"LAY+DUNK FGA/40","Layup + Dunk FGAs / 40 Mins","The number of layups and dunks attempted by the player, per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"LAY+DUNK FGA/G","Layup + Dunk FGAs / G","The number of layups and dunks attempted by the player, per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"LAY+DUNK FGA","Layups + Dunks Attempted","The total combined number of layups and dunks attempted by the player.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LAY+DUNK FGM","Layups + Dunks Made","The total number of layups and dunks made by the player.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LAYUP FGA","Layups Attempted","The total number of layups attempted by the player.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LAYUP FGA/100","Layups Attempted / 100 Poss","The number of layups attempted by the player per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"LAYUP FGA/40","Layups Attempted / 40 Mins","The number of layups attempted by the player per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"LAYUP FGA/G","Layups Attempted / Game","The number of layups attempted by the player per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"LAYUP FGM","Layups Made","The total number of layups made by the player.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"Lead Changes","Lead Changes","The number of times the leading team switched between the two teams during a game.","Integer","Highest # = 100th","Team Game"
"AST LDR","Led Game in Assists","Number of games, including ties, where this player led both teams in assists.","Integer","Highest # = 100th","Player Agg"
"BLK LDR","Led Game in Blocks","Number of games, including ties, where this player led both teams in blocks.","Integer","Highest # = 100th","Player Agg"
"PTS LDR","Led Game in Points","Number of games, including ties, where this player led both teams in points scored.","Integer","Highest # = 100th","Player Agg"
"P+A","Led Game in Pts/Ast","Number of games, including ties, where this player led both teams individually in both points and assists.","Integer","Highest # = 100th","Player Agg"
"P+R","Led Game in Pts/Reb","Number of games, including ties, where this player led both teams individually in both points and rebounds.","Integer","Highest # = 100th","Player Agg"
"P+R+A","Led Game in Pts/Reb/Ast","Number of games, including ties, where this player led both teams individually in all three of points, rebounds, and assists.","Integer","Highest # = 100th","Player Agg"
"P+R+A+S+B","Led Game in Pts/Reb/Ast/Stl/Blk","Number of games, including ties, where this player led both teams individually in all five of points, rebounds, assists, steals, and blocks.","Integer","Highest # = 100th","Player Agg"
"REB LDR","Led Game in Rebounds","Number of games, including ties, where this player led both teams in rebounds.","Integer","Highest # = 100th","Player Agg"
"STL LDR","Led Game in Steals","Number of games, including ties, where this player led both teams in steals.","Integer","Highest # = 100th","Player Agg"
"AST LDR","Led Team in Assists","Number of games, including ties, where this player led their team in assists.","Integer","Highest # = 100th","Player Agg"
"BLK LDR","Led Team in Blocks","Number of games, including ties, where this player led their team in blocks.","Integer","Highest # = 100th","Player Agg"
"PTS LDR","Led Team in Points","Number of games, including ties, where this player led their team in points scored.","Integer","Highest # = 100th","Player Agg"
"P+A","Led Team in Pts/Ast","Number of games, including ties, where this player led their team individually in both points and assists.","Integer","Highest # = 100th","Player Agg"
"P+R","Led Team in Pts/Reb","Number of games, including ties, where this player led their team individually in both points and rebounds.","Integer","Highest # = 100th","Player Agg"
"P+R+A","Led Team in Pts/Reb/Ast","Number of games, including ties, where this player led their team individually in all three of points, rebounds, and assists.","Integer","Highest # = 100th","Player Agg"
"P+R+A+S+B","Led Team in Pts/Reb/Ast/Stl/Blk","Number of games, including ties, where this player led their team individually in all five of points, rebounds, assists, steals, and blocks.","Integer","Highest # = 100th","Player Agg"
"REB LDR","Led Team in Rebounds","Number of games, including ties, where this player led their team in rebounds.","Integer","Highest # = 100th","Player Agg"
"STL LDR","Led Team in Steals","Number of games, including ties, where this player led their team in blocks.","Integer","Highest # = 100th","Player Agg"
"ledGameIn","ledGameIn","No description available","-","-","Player Agg, Player Game"
"ledTeamIn","ledTeamIn","No description available","-","-","Player Agg, Player Game"
"LB2 FG%","Left Baseline 2s FG%","Field goal percentage on left baseline 2-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LB2 FGA","Left Baseline 2s FGA","Field goal attempts on left baseline 2-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LB2 FGA/100","Left Baseline 2s FGA / 100 Poss","Field goal attempts on left baseline 2-pointers per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"LB2 FGA/40","Left Baseline 2s FGA / 40 Mins","Field goal attempts on left baseline 2-pointers per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"LB2 FGA/G","Left Baseline 2s FGA / Game","Field goal attempts on left baseline 2-pointers per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"LB2 FGA%","Left Baseline 2s FGA%","Percentage of shots taken as left baseline 2-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LB2 FGM","Left Baseline 2s FGM","Field goals made on left baseline 2-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LC3 FG%","Left Corner 3s FG%","Field goal percentage on left corner 3-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LC3 FGA","Left Corner 3s FGA","Field goal attempts on left corner 3-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LC3 FGA/100","Left Corner 3s FGA / 100 Poss","Field goal attempts on left corner 3-pointers per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"LC3 FGA/40","Left Corner 3s FGA / 40 Mins","Field goal attempts on left corner 3-pointers per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"LC3 FGA/G","Left Corner 3s FGA / Game","Field goal attempts on left corner 3-pointers per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"LC3 FGA%","Left Corner 3s FGA%","Percentage of shots taken as left corner 3-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LC3 FGM","Left Corner 3s FGM","Field goals made on left corner 3-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LE2 FG%","Left Elbow 2s FG%","Field goal percentage on left elbow 2-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LE2 FGA","Left Elbow 2s FGA","Field goal attempts on left elbow 2-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LE2 FGA/100","Left Elbow 2s FGA / 100 Poss","Field goal attempts on left elbow 2-pointers per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"LE2 FGA/40","Left Elbow 2s FGA / 40 Mins","Field goal attempts on left elbow 2-pointers per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"LE2 FGA/G","Left Elbow 2s FGA / Game","Field goal attempts on left elbow 2-pointers per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"LE2 FGA%","Left Elbow 2s FGA%","Percentage of shots taken as left elbow 2-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LE2 FGM","Left Elbow 2s FGM","Field goals made on left elbow 2-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"L-R FG%","Left - Right FG% Difference","Left side FG% minus Right side FG%. Positive values indicate better shooting from the left side of the court.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"L-R FGA%","Left - Right FGA% Difference","Left side % of shots minus right side % of shots. Positive values indicate a higher share of attempts from the left side of the court.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LW3 FG%","Left Wing 3s FG%","Field goal percentage on left wing 3-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LW3 FGA","Left Wing 3s FGA","Field goal attempts on left wing 3-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LW3 FGA/100","Left Wing 3s FGA / 100 Poss","Field goal attempts on left wing 3-pointers per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"LW3 FGA/40","Left Wing 3s FGA / 40 Mins","Field goal attempts on left wing 3-pointers per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"LW3 FGA/G","Left Wing 3s FGA / Game","Field goal attempts on left wing 3-pointers per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"LW3 FGA%","Left Wing 3s FGA%","Percentage of shots taken as left wing 3-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LW3 FGM","Left Wing 3s FGM","Field goals made on left wing 3-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LNG2 FG%","Long Distance 2s FG%","Field goal percentage on 15+ foot 2-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LNG2 FGA","Long Distance 2s FGA","Field goal attempts on 15+ foot 2-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LNG2 FGA/100","Long Distance 2s FGA / 100 Poss","Field goal attempts on 15+ foot 2-pointers per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"LNG2 FGA/40","Long Distance 2s FGA / 40 Mins","Field goal attempts on 15+ foot 2-pointers per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"LNG2 FGA/G","Long Distance 2s FGA / Game","Field goal attempts on 15+ foot 2-pointers per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"LNG2 FGA%","Long Distance 2s FGA%","Percentage of shots taken as 15+ foot 2-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LNG2 FGM","Long Distance 2s FGM","Field goals made on 15+ foot 2-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LNG3 FG%","Long Distance 3s FG%","Field goal percentage on 25+ foot 3-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LNG3 FGA","Long Distance 3s FGA","Field goal attempts on 25+ foot 3-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LNG3 FGA/100","Long Distance 3s FGA / 100 Poss","Field goal attempts on 25+ foot 3-pointers per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"LNG3 FGA/40","Long Distance 3s FGA / 40 Mins","Field goal attempts on 25+ foot 3-pointers per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"LNG3 FGA/G","Long Distance 3s FGA / Game","Field goal attempts on 25+ foot 3-pointers per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"LNG3 FGA%","Long Distance 3s FGA%","Percentage of shots taken as 25+ foot 3-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"LNG3 FGM","Long Distance 3s FGM","Field goals made on 25+ foot 3-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
